topic_id_x,topic_id_y,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,86,,,,1.0,,,,,,1.0,
1,88,,1.0,,,,1.0,1.0,1.0,,2.0,
1,89,,,,,1.0,,1.0,2.0,2.0,1.0,1.0
1,91,,,,1.0,,,,,,,
1,92,,,,,,1.0,,,,,
1,94,,,,,,,2.0,1.0,2.0,,
1,95,,,,,,,1.0,,,,
1,96,,,,,,,1.0,,,,
1,97,,,,,,,,1.0,,,
1,99,,,,,,,,,1.0,,
1,100,,,,,1.0,,,,,,1.0
1,101,,,,1.0,1.0,,,,,1.0,
1,102,,1.0,1.0,,2.0,2.0,5.0,1.0,4.0,6.0,1.0
1,103,,,,,,1.0,,,,1.0,
1,105,,,,,,1.0,,,,,
1,107,,,,1.0,,,2.0,1.0,2.0,5.0,1.0
1,108,,,,,,,,,1.0,,
1,109,,,,,,,,,,1.0,
1,111,,,,,,,,,1.0,1.0,
1,112,,,,1.0,,,,2.0,,,
1,113,,,,,,,,1.0,,,
1,114,,2.0,,,1.0,,1.0,1.0,1.0,1.0,1.0
1,115,,,,,,,1.0,1.0,,,
1,119,,1.0,,,,,,,,1.0,1.0
1,120,,,,,,1.0,,,,,
1,123,1.0,,,1.0,1.0,,1.0,,2.0,2.0,
1,124,1.0,,2.0,3.0,3.0,5.0,1.0,3.0,4.0,4.0,2.0
1,125,,,,1.0,,,1.0,,,,
1,126,,1.0,,,,,,,,,
1,127,1.0,,,1.0,2.0,1.0,,2.0,1.0,,1.0
1,129,,,,,,,,,,,1.0
1,131,,,,,,2.0,,,2.0,,1.0
1,132,,,,,,,1.0,,,,
1,133,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,4.0,1.0,1.0
1,134,,,,,,,,,1.0,,1.0
1,135,,,,,1.0,,1.0,1.0,,1.0,
1,136,1.0,7.0,,9.0,4.0,9.0,14.0,16.0,13.0,29.0,6.0
1,137,,,,,,,,,1.0,1.0,
1,138,,,1.0,,,,,,,1.0,1.0
1,139,,,,1.0,,,,,,1.0,
1,140,,,,,2.0,,2.0,1.0,,5.0,
1,142,,,,,,,,1.0,,,
1,143,,1.0,,,1.0,1.0,1.0,,1.0,1.0,
1,144,,,,,,,1.0,,,,
1,145,,,,,,1.0,,,,,
1,147,,1.0,,,,,,,,,
1,148,,,,,1.0,1.0,,1.0,1.0,,1.0
1,149,,,,,,,,,,,1.0
1,150,1.0,2.0,1.0,,1.0,,2.0,4.0,1.0,2.0,2.0
1,152,,,1.0,,,2.0,3.0,,,5.0,2.0
1,153,,,,,1.0,,,,,,
1,155,,1.0,,1.0,,,,,1.0,,
1,156,,,,,,,,,,1.0,
1,157,,,,,,,,1.0,1.0,,
1,158,,,,,,,,,1.0,1.0,
